"","V1","V2","V3"
"1","pop_den_label","MedInc_label","0.666141644804167"
"2","pop_den_label","pop_den_label","0.439775371212616"
"3","MedInc_label","MedInc_label","0.423850255628407"
"4","pop_den_label","MedAge_label","0.478117456399256"
"5","pop_den_label","pop_den_label","0.439775371212616"
"6","MedAge_label","MedAge_label","0.074433692571534"
"7","pop_den_label","Per_White_label","0.57745052313095"
"8","pop_den_label","pop_den_label","0.439775371212616"
"9","Per_White_label","Per_White_label","0.0687461819689246"
"10","pop_den_label","Per_Bach_label","0.654598296357888"
"11","pop_den_label","pop_den_label","0.439775371212616"
"12","Per_Bach_label","Per_Bach_label","0.432763427521276"
"13","pop_den_label","Per_Public_label","0.567475607138388"
"14","pop_den_label","pop_den_label","0.439775371212616"
"15","Per_Public_label","Per_Public_label","0.13995312792349"
"16","pop_den_label","pos_label","0.670880657749865"
"17","pop_den_label","pop_den_label","0.439775371212616"
"18","pos_label","pos_label","0.505989814787778"
"19","pop_den_label","hosp_den_label","0.623501031807821"
"20","pop_den_label","pop_den_label","0.439775371212616"
"21","hosp_den_label","hosp_den_label","0.499372342158166"
"22","pop_den_label","transit_den_label","0.56633046392296"
"23","pop_den_label","pop_den_label","0.439775371212616"
"24","transit_den_label","transit_den_label","0.29097214029235"
"25","pop_den_label","non_transit_den_label","0.520971858627969"
"26","pop_den_label","pop_den_label","0.439775371212616"
"27","non_transit_den_label","non_transit_den_label","0.159114540987408"
"28","pop_den_label","stop_den_label","0.552652438222771"
"29","pop_den_label","pop_den_label","0.439775371212616"
